song,artist,id
Easy On Me,Adele,1
Stay,The Kid LAROI & Justin Bieber,2
Industry Baby,Lil Nas X & Jack Harlow,3
Fancy Like,Walker Hayes,4
Bad Habits,Ed Sheeran,5
Way 2 Sexy,Drake Featuring Future & Young Thug,6
Shivers,Ed Sheeran,7
Good 4 U,Olivia Rodrigo,8
Need To Know,Doja Cat,9
Levitating,Dua Lipa,10
Essence,Wizkid Featuring Justin Bieber & Tems,11
Kiss Me More,Doja Cat Featuring SZA,12
Heat Waves,Glass Animals,13
Beggin',Maneskin,14
Cold Heart (PNAU Remix),Elton John & Dua Lipa,15
You Right,Doja Cat & The Weeknd,16
Save Your Tears,The Weeknd & Ariana Grande,17
If I Didn't Love You,Jason Aldean & Carrie Underwood,18
Traitor,Olivia Rodrigo,19
My Universe,Coldplay x BTS,20
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",21
Knife Talk,Drake Featuring 21 Savage & Project Pat,22
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,23
Montero (Call Me By Your Name),Lil Nas X,24
Chasing After You,Ryan Hurd With Maren Morris,25
Girls Want Girls,Drake Featuring Lil Baby,26
Moth To A Flame,Swedish House Mafia & The Weeknd,27
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,28
Thats What I Want,Lil Nas X,29
Pepas,Farruko,30
Love Nwantiti (Ah Ah Ah),CKay,31
Take My Breath,The Weeknd,32
Happier Than Ever,Billie Eilish,33
Wockesha,Moneybagg Yo,34
Better Days,NEIKED X Mae Muller X Polo G,35
Buy Dirt,Jordan Davis Featuring Luke Bryan,36
Ghost,Justin Bieber,37
Lets Go Brandon,Loza Alexander,38
Cold As You,Luke Combs,39
A-O-K,Tai Verdes,40
You Should Probably Leave,Chris Stapleton,41
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),42
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,43
Memory I Don't Mess With,Lee Brice,44
Bubbly,Young Thug With Drake & Travis Scott,45
Wild Side,Normani Featuring Cardi B,46
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,47
Gyalis,Capella Grey,48
I Was On A Boat That Day,Old Dominion,49
Family Ties,Baby Keem & Kendrick Lamar,50
Have Mercy,Chloe,51
Fair Trade,Drake Featuring Travis Scott,52
Same Boat,Zac Brown Band,53
My Boy,Elvie Shane,54
Hurricane,Kanye West,55
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,56
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",57
Knowing You,Kenny Chesney,58
Memory,Kane Brown X blackbear,59
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,60
Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",61
Pissed Me Off,Lil Durk,62
Woman,Doja Cat,63
Sand In My Boots,Morgan Wallen,64
'Til You Can't,Cody Johnson,65
Love Again,Dua Lipa,66
Whiskey And Rain,Michael Ray,67
One Mississippi,Kane Brown,68
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,69
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,70
Too Easy,Gunna & Future,71
Esta Danada,Ivan Cornejo,72
Volvi,Aventura x Bad Bunny,73
Tequila Little Time,Jon Pardi,74
Whole Lotta Money,BIA Featuring Nicki Minaj,75
2055,Sleepy Hallow,76
Maybach,42 Dugg Featuring Future,77
WFM,Realestk,78
Poke It Out,Wale Featuring J. Cole,79
Praise God,Kanye West,80
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",81
Freedom Was A Highway,Jimmie Allen & Brad Paisley,82
For Tonight,Giveon,83
Thot Shit,Megan Thee Stallion,84
Like A Lady,Lady A,85
Get Into It (Yuh),Doja Cat,86
Scorpio,Moneybagg Yo,87
Big Energy,Latto,88
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89
Money,Lisa,90
No Friends In The Industry,Drake,91
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92
Who's In Your Head,Jonas Brothers,93
In The Bible,Drake Featuring Lil Durk & Giveon,94
Just About Over You,Priscilla Block,95
To Be Loved By You,Parker McCollum,96
Ain't Shit,Doja Cat,97
Life Goes On,Oliver Tree,98
Come Through,H.E.R. Featuring Chris Brown,99
Nevada,YoungBoy Never Broke Again,100
Leave Before You Love Me,Marshmello X Jonas Brothers,101
Deja Vu,Olivia Rodrigo,102
Ex For A Reason,Summer Walker & JT,103
Late At Night,Roddy Ricch,104
Livin It Up,Young Thug With Post Malone & A$AP Rocky,105
Stressed,Young Thug With J. Cole & T-Shyne,106
Rich N***a Shit,Young Thug With Juice WRLD,107
Yonaguni,Bad Bunny,108
Champagne Poetry,Drake,109
Let Somebody Go,Coldplay X Selena Gomez,110
You Time,Scotty McCreery,111
Peepin Out The Window,Young Thug With Future & BSlime,112
Woo Baby,Pop Smoke Featuring Chris Brown,113
Flocky Flocky,Don Toliver Featuring Travis Scott,114
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,115
Todo de Ti,Rauw Alejandro,116
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,117
Your Heart,Joyner Lucas & J. Cole,118
Summer Of Love,Shawn Mendes & Tainy,119
Waves,Luke Bryan,120
Life Support,YoungBoy Never Broke Again,121
Bad Morning,YoungBoy Never Broke Again,122
Intro (Hate On Me),Meek Mill,123
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,124
Butter,BTS,125
Hot,Meek Mill Featuring Moneybagg Yo,126
Expensive Pain,Meek Mill,127
On My Soul,Meek Mill,128
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,129
Outside (100 MPH),Meek Mill,130
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",131
The Feels,TWICE,132
Me (FWM),Meek Mill Featuring A$AP Ferg,133
Love Train,Meek Mill,134
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,135
Ride For You,Meek Mill Featuring Kehlani,136
TSU,Drake,137
Love All,Drake Featuring JAY-Z,138
No Where,YoungBoy Never Broke Again,139
On My Side,YoungBoy Never Broke Again,140
Things A Man Oughta Know,Lainey Wilson,141
Hold Me Down,YoungBoy Never Broke Again,142
50 Shots,YoungBoy Never Broke Again,143
Smoke Strong,YoungBoy Never Broke Again,144
Break Or Make Me,YoungBoy Never Broke Again,145
Sincerely,YoungBoy Never Broke Again,146
I Can't Take It Back,YoungBoy Never Broke Again,147
Rumors,Lizzo Featuring Cardi B,148
Forgiato,YoungBoy Never Broke Again,149
Rich Shit,YoungBoy Never Broke Again,150
N 2 Deep,Drake Featuring Future,151
Baddest Thing,YoungBoy Never Broke Again,152
Pipe Down,Drake,153
Papi's Home,Drake,154
Toxic Punk,YoungBoy Never Broke Again,155
Moon,Kanye West,156
Wildest Dreams (Taylor's Version),Taylor Swift,157
Arcade,Duncan Laurence,158
Scoop,Lil Nas X Featuring Doja Cat,159
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,160
Lonely,DaBaby X Lil Wayne,161
Dead Right Now,Lil Nas X,162
Tales Of Dominica,Lil Nas X,163
One Of Me,Lil Nas X Featuring Elton John,164
Race My Mind,Drake,165
Lost In The Citadel,Lil Nas X,166
Sun Goes Down,Lil Nas X,167
7am On Bridle Path,Drake,168
Off The Grid,Kanye West,169
In Da Getto,J Balvin & Skrillex,170
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),171
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,172
Don't Go Yet,Camila Cabello,173
Country Again,Thomas Rhett,174
Range Brothers,Baby Keem & Kendrick Lamar,175
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,176
